question,generated_answer,ground_truth
Who or what vary greatly in form within the coleoptera?,"Beetles are a group of insects which have the largest number of species. They are placed in the order Coleoptera,which means ""sheathed wing"" and contains more described species than in any other order in",Antennae.
Are many beetles territorial?,Many beetles are territorial,Yes.
Are beetles endopterygotes with complete metamorphosis?,yes,Yes.
Oxygen is what?,tracheal system,One kind of gas obtained via a tracheal system.
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,There is a thriving industry in the collection of beetle specimens for amateur and professional collectors,Yes.
Have coleopterists formed organisations to facilitate the study of beetles ?,Coleopterists have formed organisations to facilitate the study of beetles,Yes.
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",yes,Yes.
May a single female lay from several dozen to several thousand eggs during her lifetime ?,A single female may lay from several dozen to several thousand eggs during her lifetime,Yes.
Can beetles be found in almost all habitats?,yes,Yes.
What happened on plants and fungi?,"by pulling down trees to eat leaves, breaking branches, and pulling out roots they create clearings in which new young trees and other vegetation grow to provide future nutrition for elephants and other organisms",They are food to beetles.
Was Calvin Coolidge the twenty-ninth vice president?,yes,no
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,yes
Did Coolidge graduate from Black River Academy?,Yes,yes
When did he drop John from his name?,"On 05 June, 1653, after what must have seemed like endless badgering on the part of Jacqueline, ;Origin and history of the name",upon graduating from college
When did Coolidge meet and marry Grace Anna Goodhue?,In 1905,1905
What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties.""",the Roaring Twenties
What did Coolidge do after graduating from Amherst?,"moved to Northampton, Massachusetts to take up the practice of law","Coolidge moved to Northampton, MassachuS08_setts"
Of what state was Coolidge governor?,Massachusetts,MassachuS08_setts
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,Coolidge
Was Coolidge the thirteenth President of the United States?,no,No
Was Calvin Coolidge Republican?,"was known as a Progressive Republican, voting in favor of such measures as women's suffrage and the direct election of Senators.",Yes
Was Calvin Coolidge a governor of MassachuS08_setts?,no,Yes
When was Coolidge born?,July 4 1872,July 4 1872
Where did Coolidge's grandfather had government offices?,in Plymouth,Plymouth
