question,generated_answer,ground_truth
Is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?,There is a thriving industry in the collection of beetle specimens for amateur and professional collectors,Yes.
Have coleopterists formed organisations to facilitate the study of beetles ?,Coleopterists have formed organisations to facilitate the study of beetles,Yes.
"Is the study of beetles called coleopterology , and its practitioners are coleopterists ?",yes,Yes.
May a single female lay from several dozen to several thousand eggs during her lifetime ?,A single female may lay from several dozen to several thousand eggs during her lifetime,Yes.
Can beetles be found in almost all habitats?,"Can be found in almost all habitats, but are not known to occur in the sea or in the polar regions",Yes.
What happened on plants and fungi?,"The Colorado potato beetle, Leptinotarsa decemlineata, is a notorious pest of potato plants",They are food to beetles.
Was Calvin Coolidge the twenty-ninth vice president?,yes,no
"Was Calvin Coolidge born in Plymouth, Windsor County, Vermont?",yes,yes
Did Coolidge graduate from Black River Academy?,Yes,yes
When did he drop John from his name?,unanswerable,upon graduating from college
When did Coolidge meet and marry Grace Anna Goodhue?,In 1905,1905
What period of rapid economic growth did the United States experience during Coolidge's presidency?,"the ""Roaring Twenties.""",the Roaring Twenties
What did Coolidge do after graduating from Amherst?,"moved to Northampton, Massachusetts to take up the practice of law","Coolidge moved to Northampton, MassachuS08_setts"
Of what state was Coolidge governor?,Massachusetts,MassachuS08_setts
Who appointed Harlan Fiske Stone to the Supreme Court?,Coolidge,Coolidge
Was Coolidge the thirteenth President of the United States?,no,No
Was Calvin Coolidge Republican?,no,Yes
Was Calvin Coolidge a governor of MassachuS08_setts?,yes,Yes
When was Coolidge born?,(iii),July 4 1872
Where did Coolidge's grandfather had government offices?,town of Plymouth Notch,Plymouth
